Coding time: Codewars @coding,2024-12-30 17:00:00+00:00,2024-12-30 17:30:00+00:00,"Categories: Career, SWE, Python
Project: Python official tutorial
Area: None
Color: Lavender",None
Work on calendar idea @thinking,2025-01-06 20:30:00+00:00,2025-01-06 22:30:00+00:00,"Categories: Personal
Project: None
Area: None
Color: Gray",None
Brain storm gCalvis app @thinking,2025-01-13 02:30:00+00:00,2025-01-13 04:30:00+00:00,"Categories: Personal
Project: None 
Area: None
Color: Eucalyptus",None
Coding: Make set from scratch @coding,2025-01-16 03:30:00+00:00,2025-01-16 04:30:00+00:00,"Categories: Career, SWE, Python
Project: None 
Area: None
Color: Lavender",None
Reading: Python official Tutorial @learning,2025-01-18 11:30:00+00:00,2025-01-18 12:30:00+00:00,"<span>Categories: Career, SWE, Programming, Python</span><br><span>Project: Python official Tutorial</span><br><span>Area: None</span><br>Color: Lavender",None
Exploring: vim @vim,2025-01-18 21:30:00+00:00,2025-01-19 00:30:00+00:00,"Categories: Personal, Tech
Project: None 
Area: Tools
Color: Eucalyptus",None
Exploring: @vim,2025-01-19 07:30:00+00:00,2025-01-19 13:30:00+00:00,"Categories: Personal, Health 
Project: None 
Area: Sleep 
Color: Eucalyptus",None
Fixing: Neovim and Linux Fix/update @vim,2025-01-18 11:00:00+00:00,2025-01-18 11:30:00+00:00,"<span>Categories: Career, Linux</span><br><span>Project: None</span><br><span>Area: None</span><br>Color: Lavender",None
back to neovim @vim,2025-01-19 16:30:00+00:00,2025-01-19 22:30:00+00:00,"Categories: Career, Linux, Neovim
Project: None 
Area: Tools
Action: Configuring
Difficulty: 2/5
Color: Eucalyptus",None
UV video @python,2025-01-19 23:30:00+00:00,2025-01-20 00:30:00+00:00,"Categories: Career, Tools, Python
Project: None
Area: Python
Action: Learning / Watching
Difficulty: 2/5
Color: Lavender",None
Learning: Emacs @learning,2025-01-20 07:30:00+00:00,2025-01-20 09:30:00+00:00,"Categories: SWE, Linux, Tools, Editors
Project: None
Area: Linux
Action: Learning / Watching
Difficulty: 1/5
Color: Eucalyptus",None
@learning about gun emacs,2025-01-20 16:30:00+00:00,2025-01-20 18:30:00+00:00,None,None
Neovim lsp and omni compl @vim,2025-01-20 19:30:00+00:00,2025-01-20 20:30:00+00:00,None,None
Why my vim is slow @vim,2025-01-20 20:30:00+00:00,2025-01-20 21:30:00+00:00,None,None
@vim lsp stuff,2025-01-20 21:30:00+00:00,2025-01-21 00:30:00+00:00,None,None
Extend my color scheme @vim,2025-01-21 00:30:00+00:00,2025-01-21 02:30:00+00:00,None,None
@vim color theme,2025-01-21 08:30:00+00:00,2025-01-21 11:30:00+00:00,None,None
new calendar format convert :gcal vis @coding,2025-01-22 09:30:00+00:00,2025-01-22 10:30:00+00:00,None,None
